datetime,us_aqi,us_aqi_lag1,us_aqi_lag6,us_aqi_lag24,us_aqi_diff,log_carbon_monoxide,log_nitrogen_dioxide,log_sulphur_dioxide,log_ozone,scaled_pm2_5,scaled_ozone,scaled_sulphur_dioxide,scaled_nitrogen_dioxide,scaled_pm2_5_diff,scaled_ozone_per_humidity,scaled_temperature_2m,scaled_relative_humidity_2m,scaled_wind_speed_10m,precipitation,month,day_of_week,hour_sin,hour_cos,scaled_pm2_5_temp_interaction
2025-05-02 00:00:00,58,58.0,56.0,56.0,0.0,5.697093486505405,2.6461747973841225,2.2300144001592104,4.158883083359672,-1.0012151116891548,-0.190494290453475,-1.0365915523747031,0.1327747527501225,-0.3000297498800768,-0.2603016632104367,-0.9386594936807534,0.0550620429595177,-0.0231926727169376,0.0,5.0,4.0,0.0,1.0,-0.9818802915637111
2025-05-02 01:00:00,58,58.0,57.0,56.0,0.0,5.43372200355424,2.341805806147327,2.1041341542702074,4.23410650459726,-1.1402332549892662,-0.0047623572613367,-1.288571734954296,-0.3443464132412903,-0.5548644557673256,-0.1853187646031966,-1.106009071982694,0.2407848256986485,0.1753970737718299,0.0,5.0,4.0,0.2588190451025207,0.9659258262890684,-1.1107630293025903
2025-05-02 02:00:00,58,58.0,57.0,55.0,0.0,5.19295685089021,2.0412203288596382,2.0014800002101243,4.276666119016055,-1.2471702882970446,0.1066768026539462,-1.4718300495576364,-0.6925159127485375,-0.4274471028237019,-0.1381751261685839,-1.1617922647500063,0.333646217068214,0.0761022005274461,0.0,5.0,4.0,0.4999999999999999,0.8660254037844387,-1.2021934528513512
2025-05-02 03:00:00,58,58.0,57.0,55.0,0.0,5.081404364984463,1.8562979903656265,1.9459101490553128,4.290459441148391,-1.3220262116124892,0.1438231892923739,-1.5634592068593065,-0.8601530791779528,-0.3000297498800753,-0.1359599431578008,-1.2733586502846346,0.4265076084377794,0.1257496371496377,0.0,5.0,4.0,0.7071067811865475,0.7071067811865476,-1.27158948284208
2025-05-02 04:00:00,58,58.0,57.0,56.0,0.0,5.087596335232384,1.7749523509116738,1.916922612182061,4.276666119016055,-1.3541073216048227,0.1066768026539462,-1.6092737855101418,-0.9246289124200356,-0.1301399459552418,-0.1578348753892832,-1.3291418430519468,0.4265076084377794,0.0761022005274461,0.0,5.0,4.0,0.8660254037844386,0.5000000000000001,-1.3016867410819617
2025-05-02 05:00:00,58,58.0,58.0,56.0,0.0,5.209486152841421,1.916922612182061,1.9021075263969205,4.262679877041316,-1.4075758382587118,0.0695304160155185,-1.6321810748355592,-0.8085724125842867,-0.2150848479176585,-0.1603269562764141,-1.3849250358192609,0.333646217068214,0.0761022005274461,0.0,5.0,4.0,0.9659258262890684,0.2588190451025207,-1.348648311709834
2025-05-02 06:00:00,58,58.0,58.0,56.0,0.0,5.497168225293202,2.2082744135228043,2.079441541679836,4.248495242049359,-1.3754947282663783,0.0323840293770909,-1.3343863136051313,-0.5119835796707057,0.1246947599320099,-0.1824787863842441,-1.3291418430519468,0.333646217068214,0.0512784822163502,0.0,5.0,4.0,1.0,6.123233995736766e-17,-1.318797247811383
2025-05-02 07:00:00,58,58.0,58.0,56.0,0.0,5.783825182329737,2.501435951739211,2.2925347571405443,4.219507705176107,-1.1937017716431555,-0.0419087438997643,-0.8991478164221979,-0.1122334135697922,0.7193090736689288,-0.2267824465999043,-1.0502258792153798,0.333646217068214,-0.3459010107611843,0.0,5.0,4.0,0.9659258262890684,-0.2588190451025206,-1.149353992321825
2025-05-02 08:00:00,58,58.0,58.0,56.0,0.0,5.91350300563827,2.617395832834079,2.4336133554004498,4.262679877041316,-0.9798277050275987,0.0695304160155185,-0.5555384765409349,0.0811940861564562,0.8467264266125554,-0.0555547868474879,-0.3808275660076196,-0.1306607397796131,0.3988105385716932,0.0,5.0,4.0,0.8660254037844387,-0.4999999999999998,-0.910176189622071
2025-05-02 09:00:00,58,58.0,58.0,56.0,0.0,5.834810737062605,2.476538400117484,2.517696472610991,4.406719247264253,-0.9370528917044876,0.4781406690382228,-0.3264655832867595,-0.1509189135150418,0.1671672109132176,0.4047100236382371,0.3443539399674548,-0.7806904793665711,0.8952849047936117,0.0,5.0,4.0,0.7071067811865476,-0.7071067811865475,-0.8018506793926408
2025-05-02 10:00:00,59,58.0,58.0,56.0,1.0,5.6240175061873385,2.1400661634962708,2.5726122302071057,4.574710978503383,-0.915665485042932,1.0353364686146376,-0.1661145580088369,-0.5893545795612051,0.0822223089508008,1.0431347646637326,0.8464026748732745,-1.3378588275839636,1.242816961148954,0.0,5.0,4.0,0.4999999999999999,-0.8660254037844387,-0.7324854236945908
2025-05-02 11:00:00,59,59.0,58.0,56.0,0.0,5.43372200355424,1.7749523509116738,2.5877640352277083,4.68213122712422,-0.915665485042932,1.4439467216373418,-0.1202999793580015,-0.9246289124200356,-0.0027225930116159,1.517483210339062,1.2368850242444678,-1.61644300169266,1.466230425948818,0.0,5.0,4.0,0.258819045102521,-0.9659258262890682,-0.6932789748217799
2025-05-02 12:00:00,59,59.0,58.0,56.0,0.0,5.37989735354046,1.5686159179138452,2.5416019934645457,4.709530201312334,-0.9691340016968212,1.5553858815526247,-0.2577437153105071,-1.066475745552618,-0.2150848479176585,1.6662274561236117,1.5158009880810346,-1.7093043930622254,1.639996454126489,0.0,5.0,4.0,1.2246467991473532e-16,-1.0,-0.7158980799407093
