time,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,us_aqi,temperature_2m,relative_humidity_2m,wind_speed_10m,precipitation,hour,day_of_week,month,hour_sin,hour_cos,us_aqi_lag1,us_aqi_lag6,us_aqi_lag24,us_aqi_roll3,us_aqi_diff,pm2_5_diff,ozone_per_humidity,pm2_5_temp_interaction,log_pm2_5,log_pm10,log_carbon_monoxide,log_ozone,log_sulphur_dioxide,log_nitrogen_dioxide,scaled_pm2_5,scaled_pm10,scaled_carbon_monoxide,scaled_ozone,scaled_sulphur_dioxide,scaled_nitrogen_dioxide,scaled_temperature_2m,scaled_relative_humidity_2m,scaled_wind_speed_10m,scaled_us_aqi_lag1,scaled_us_aqi_lag6,scaled_us_aqi_lag24,scaled_us_aqi_roll3,scaled_us_aqi_diff,scaled_pm2_5_diff,scaled_ozone_per_humidity,scaled_pm2_5_temp_interaction,scaled_log_pm2_5,scaled_log_pm10,scaled_log_carbon_monoxide,scaled_log_ozone,scaled_log_sulphur_dioxide,scaled_log_nitrogen_dioxide
02/05/2025 00:00,27.4,17.4,297.0,13.1,8.3,63.0,58,28.5,75,13.1,0.0,0.0,4.0,5.0,0.0,1.0,58.0,56.0,56.0,57.666666666666664,0.0,-0.7000000000000028,0.8289473684210527,495.9,2.91235066461494,3.3463891451671604,5.697093486505405,4.1588830833596715,2.2300144001592104,2.6461747973841225,-0.8888390965478512,-0.9111217802434447,0.56817162791085,-0.03785861750005304,-0.9468192386661034,0.22343470688414876,-0.7463880261434873,-0.07137809787449316,-0.3598372703522853,-1.4333489203134602,-1.5547316240756992,-1.4944595802711118,-1.4593848584719504,-0.0190547064697001,-0.32781857868762854,-0.12629423226505224,-0.8626783452723331,-1.0840254174559325,-1.6430681163102467,0.678635891097198,0.15394308978929044,-1.0489204102630314,0.4972131193407642
02/05/2025 01:00,25.8,16.1,228.0,9.4,7.2,68.0,58,28.2,77,13.9,0.0,1.0,4.0,5.0,0.25881904510252074,0.9659258262890683,58.0,57.0,56.0,58.0,0.0,-1.2999999999999972,0.8717948717948718,454.02000000000004,2.8390784635086144,3.288401887516811,5.43372200355424,4.23410650459726,2.1041341542702074,2.341805806147327,-1.0383020305531254,-0.9476274943099601,-0.3158644396769429,0.16114788250022583,-1.2185320706828375,-0.28838359278856246,-0.9180027912786692,0.12781659386827793,-0.1998461060829088,-1.4333489203134602,-1.4852575010719975,-1.4944595802711118,-1.4360275823284314,-0.0190547064697001,-0.607143284788326,-0.044239318073616786,-1.0013735599699358,-1.3426418281775085,-1.769103095404777,-0.1838354143825422,0.34369001113706615,-1.485689700899127,-0.044644036761619446
02/05/2025 02:00,24.5,15.1,179.0,6.7,6.4,71.0,58,28.1,78,13.5,0.0,2.0,4.0,5.0,0.49999999999999994,0.8660254037844387,58.0,57.0,55.0,58.0,0.0,-1.0000000000000018,0.8987341772151899,424.31,2.7788192719904172,3.2386784521643803,5.19295685089021,4.276666119016055,2.0014800002101243,2.0412203288596382,-1.1532735182494909,-0.9772883869890038,-0.9436581688334914,0.28055178250039314,-1.4161414030586439,-0.6618726222794599,-0.9752077129903951,0.22741393973966345,-0.27984168821759703,-1.4333489203134602,-1.4852575010719975,-1.5623271289237437,-1.4360275823284314,-0.0190547064697001,-0.46748093173797806,0.007350674821785899,-1.09976503152356,-1.5553284349413226,-1.877176703109074,-0.9722770224311946,0.45104428560178067,-1.8418709407197582,-0.5797655392082018
02/05/2025 03:00,23.7,14.4,160.0,5.4,6.0,72.0,58,27.9,79,13.7,0.0,3.0,4.0,5.0,0.7071067811865475,0.7071067811865476,58.0,57.0,55.0,58.0,0.0,-0.6999999999999993,0.9,401.76,2.7343675094195836,3.2068032436339315,5.081404364984463,4.290459441148391,1.9459101490553132,1.8562979903656263,-1.2337535596369462,-0.9955412440222613,-1.1870883903431735,0.3203530825004489,-1.5149460692465473,-0.8417006735158179,-1.089617556413851,0.327011285611049,-0.2398438971502531,-1.4333489203134602,-1.4852575010719975,-1.5623271289237437,-1.4360275823284314,-0.0190547064697001,-0.32781857868762687,0.009774782921690374,-1.1744445227229616,-1.7122222515967667,-1.9464572899751216,-1.3375816373066023,0.4858371781172971,-2.034682801693098,-0.9089761201842779
02/05/2025 04:00,23.1,14.1,161.0,4.9,5.8,71.0,58,27.8,79,13.5,0.0,4.0,4.0,5.0,0.8660254037844386,0.5000000000000001,58.0,57.0,56.0,58.0,0.0,-0.3000000000000007,0.8875,391.98,2.714694743820879,3.1822118404966093,5.087596335232384,4.276666119016055,1.916922612182061,1.7749523509116738,-1.2682450059458559,-1.0092308867972046,-1.1742762734216112,0.28055178250039314,-1.564348402340499,-0.9108653086067249,-1.1468224781255771,0.327011285611049,-0.27984168821759703,-1.4333489203134602,-1.4852575010719975,-1.4944595802711118,-1.4360275823284314,-0.0190547064697001,-0.14160210795382747,-0.014163284564866326,-1.2068332333185336,-1.781657862255182,-1.9999065666939164,-1.3173045875540064,0.45104428560178067,-2.1352614574464552,-1.0537928332033666
02/05/2025 05:00,19.0,13.6,182.0,5.8,5.7,70.0,58,27.7,78,13.5,0.0,5.0,4.0,5.0,0.9659258262890683,0.25881904510252074,58.0,58.0,56.0,58.0,0.0,-0.5,0.8860759493670886,376.71999999999997,2.681021528714291,2.995732273553991,5.209486152841421,4.2626798770413155,1.9021075263969205,1.916922612182061,-1.3257307497940385,-1.1027767790926502,-0.9052218180688048,0.24075048250033737,-1.5890495688874746,-0.7863689654430924,-1.204027399837305,0.22741393973966345,-0.27984168821759703,-1.4333489203134602,-1.4157833780682956,-1.4944595802711118,-1.4360275823284314,-0.0190547064697001,-0.23471034332072716,-0.01689040617725886,-1.2573702193807452,-1.9005084754049693,-2.405218858971777,-0.9181479706721128,0.41576476344936586,-2.1866656667677056,-0.801048288792022
02/05/2025 06:00,20.7,13.9,243.0,8.1,7.0,69.0,58,27.8,78,13.4,0.0,6.0,4.0,5.0,1.0,6.123233995736766e-17,58.0,58.0,56.0,58.0,0.0,0.3000000000000007,0.8734177215189873,386.42,2.7013612129514133,3.077312260546414,5.497168225293202,4.248495242049359,2.0794415416798357,2.2082744135228043,-1.2912393034851288,-1.0639894578969775,-0.12368268585350967,0.2009491825002816,-1.2679344037767892,-0.46821164402492055,-1.1468224781255771,0.22741393973966345,-0.29984058375126904,-1.4333489203134602,-1.4157833780682956,-1.4944595802711118,-1.4360275823284314,-0.0190547064697001,0.13772259814687332,-0.04113148717630341,-1.2252464471131532,-1.828718955598109,-2.2279052150481427,0.023934026248607264,0.3799848058791736,-1.5713661691081136,-0.2823651671694914
02/05/2025 07:00,22.5,15.6,324.0,11.2,8.9,67.0,58,28.3,78,11.8,0.0,7.0,4.0,5.0,0.9659258262890683,-0.25881904510252063,58.0,58.0,56.0,58.0,0.0,1.6999999999999993,0.8481012658227848,441.48,2.8094026953624973,3.157000421150113,5.783825182329737,4.219507705176107,2.2925347571405443,2.501435951739211,-1.0957877744013083,-1.022920529572148,0.9140987847930298,0.12134658250017005,-0.7986122393842486,-0.03939090646129763,-0.8607978695669413,0.22741393973966345,-0.6198229122900217,-1.4333489203134602,-1.4157833780682956,-1.4944595802711118,-1.4360275823284314,-0.0190547064697001,0.789480245715173,-0.08961364917439271,-1.0429026428808226,-1.4473833335161808,-2.054703445163991,0.962659043816258,0.3068653466912905,-0.8319922355823823,0.23953976385207107
02/05/2025 08:00,26.1,17.6,369.0,12.7,10.4,70.0,58,29.5,73,14.8,0.0,8.0,4.0,5.0,0.8660254037844387,-0.4999999999999998,58.0,58.0,56.0,58.0,0.0,2.0000000000000018,0.9459459459459459,519.2,2.9231615807191558,3.299533727885655,5.91350300563827,4.2626798770413155,2.4336133554004498,2.617395832834079,-0.8658447990085778,-0.9407826729224884,1.4906440462633295,0.24075048250033737,-0.4280947411796114,0.16810299881142318,-0.17433880902621554,-0.2705727896172642,-0.019856046279860266,-1.4333489203134602,-1.4157833780682956,-1.4944595802711118,-1.4360275823284314,-0.0190547064697001,0.9291425987655241,0.09776335530470907,-0.7855150572481174,-1.045867967873829,-1.7449081028319138,1.3873193005283317,0.41576476344936586,-0.3424889076317281,0.44597896495699585
02/05/2025 09:00,28.9,18.0,341.0,10.9,11.4,81.0,58,30.8,66,16.8,0.0,9.0,4.0,5.0,0.7071067811865476,-0.7071067811865475,58.0,58.0,56.0,58.0,0.0,0.3999999999999986,1.208955223880597,554.4,2.9444389791664403,3.3978584803966405,5.834810737062605,4.406719247264253,2.517696472610991,2.4765384001174837,-0.8198562039300319,-0.8768976733060866,1.1319047724595874,0.6785647825009509,-0.18108307570985324,-0.08088968751584164,0.5693251732262381,-0.967754210716963,0.38012186439358076,-1.4333489203134602,-1.4157833780682956,-1.4944595802711118,-1.4360275823284314,-0.0190547064697001,0.18427671583032235,0.6014380628879243,-0.6689421929368565,-0.9707687579027162,-1.5311998050206916,1.129623126101578,0.7790961116255104,-0.05074397816199484,0.19521554915187656
