datetime,nitrogen_dioxide,sulphur_dioxide,ozone,us_aqi,temperature_2m,relative_humidity_2m,wind_speed_10m,precipitation,hour,day_of_week,month,hour_sin,hour_cos,us_aqi_lag1,us_aqi_lag6,us_aqi_lag24,us_aqi_diff,pm2_5_diff,ozone_per_humidity,pm2_5_temp_interaction,log_carbon_monoxide,log_ozone,log_sulphur_dioxide,log_nitrogen_dioxide,scaled_pm2_5,scaled_ozone,scaled_sulphur_dioxide,scaled_nitrogen_dioxide,scaled_temperature_2m,scaled_relative_humidity_2m,scaled_wind_speed_10m,scaled_pm2_5_diff,scaled_ozone_per_humidity,scaled_pm2_5_temp_interaction
16/05/2025 04:00,14.9,7.7,46.0,70,28.0,92,7.0,0.0,4.0,4.0,5.0,0.8660254037844386,0.5000000000000001,70.0,71.0,73.0,0.0,0.1999999999999993,0.4946236559139785,613.1999999999999,5.318119993844216,3.8501476017100575,2.1633230256605382,2.766319109226186,-0.5384890940781948,-0.7975970899024359,-1.1041631756195682,0.3503310462878616,-1.251596598455119,1.5196352845793832,-1.4517129162280902,0.0857669608959457,-0.8153538163328485,-0.6564875896709461
16/05/2025 05:00,13.2,7.9,48.0,71,27.8,92,8.1,0.0,5.0,4.0,5.0,0.9659258262890684,0.2588190451025207,70.0,71.0,73.0,1.0,-2.7,0.5161290322580645,533.76,5.3706380281276624,3.8918202981106265,2.186051276738094,2.653241964607215,-0.8671594725368561,-0.7253713893119639,-1.0634817680191575,0.139963347348076,-1.360596403485134,1.5196352845793832,-1.2188530075781212,-1.182431460889565,-0.7777498521875291,-0.928553078507817
16/05/2025 06:00,13.3,8.9,52.0,71,28.3,92,8.7,0.0,6.0,4.0,5.0,1.0,6.123233995736766e-17,71.0,71.0,73.0,0.0,-1.3999999999999986,0.5591397849462365,503.74,5.605802066295998,3.970291913552122,2.2925347571405443,2.660259537265861,-1.0375811502561618,-0.58091998813102,-0.8600747300171059,0.1523379178739459,-1.0880968909100954,1.5196352845793832,-1.0918385119508656,-0.613928720089163,-0.7025419238968904,-1.03136533901742
16/05/2025 07:00,13.4,10.3,58.0,71,29.0,87,10.3,0.0,7.0,4.0,5.0,0.9659258262890684,-0.2588190451025206,71.0,71.0,73.0,0.0,-0.3000000000000007,0.6590909090909091,507.5,5.860786223465865,4.07753744390572,2.424802725718295,2.667228206581955,-1.0741000811960133,-0.3642428863596039,-0.5753048768142331,0.1647124883998156,-0.7065975733050418,1.058855612569416,-0.753133190278183,-0.132887939411901,-0.527768954176031,-1.0184881205125529
16/05/2025 08:00,12.6,11.6,67.0,71,29.9,81,10.7,0.0,8.0,4.0,5.0,0.8660254037844387,-0.4999999999999998,71.0,70.0,73.0,0.0,-0.5,0.8170731707317073,508.3,5.978885764901122,4.219507705176107,2.533696813957432,2.6100697927420065,-1.1349649660957657,-0.0392272337024799,-0.3108757274115659,0.0657159241928577,-0.2160984506699732,0.5059200061574555,-0.6684568598600128,-0.2203498995350394,-0.2515236466173585,-1.0157482867881134
16/05/2025 09:00,10.2,12.8,82.0,71,30.8,75,12.7,0.0,9.0,4.0,5.0,0.7071067811865476,-0.7071067811865475,71.0,70.0,73.0,0.0,1.0,1.0789473684210529,554.4,5.902633333401366,4.418840607796598,2.624668592163159,2.4159137783010487,-1.0132351962962611,0.50246552072606,-0.0667872818091035,-0.2312737684280159,0.2744006719650972,-0.0470156002545051,-0.2450752077691599,0.4356148013885009,0.2063854726156322,-0.8578653684172705
16/05/2025 10:00,7.0,14.0,100.0,70,31.6,71,13.8,0.0,10.0,4.0,5.0,0.4999999999999999,-0.8660254037844387,71.0,70.0,73.0,-1.0,0.3000000000000007,1.3888888888888888,578.2800000000001,5.71042701737487,4.61512051684126,2.70805020110221,2.079441541679836,-0.9767162653564098,1.152496826040308,0.1773011637933585,-0.6272600252558472,0.7103998920851593,-0.4156393378624789,-0.0122152991191906,0.1294979409575157,0.7483443593766825,-0.7760813317427424
16/05/2025 11:00,4.6,14.7,114.0,70,32.2,68,14.5,0.0,11.0,4.0,5.0,0.258819045102521,-0.9659258262890682,70.0,71.0,73.0,0.0,-0.1999999999999993,1.6521739130434785,582.82,5.53338948872752,4.74493212836325,2.7536607123542622,1.7227665977411035,-1.0010622193163106,1.658076730173612,0.3196860903947947,-0.9242497178767208,1.0373993071752063,-0.6921071410684592,0.1359682791126076,-0.089156959350331,1.2087204276630383,-0.7605327753565467
16/05/2025 12:00,3.6,14.4,120.0,70,32.5,66,14.8,0.0,12.0,4.0,5.0,1.2246467991473532e-16,-1.0,70.0,71.0,72.0,0.0,-0.1000000000000014,1.791044776119403,585.0,5.472270673671475,4.795790545596741,2.734367509419584,1.5260563034950494,-1.0132351962962611,1.874753831945028,0.2586639789941794,-1.047995423135418,1.200899014720228,-0.876419009872446,0.1994755269262357,-0.0454259792887625,1.4515478431140918,-0.7530667284574485
16/05/2025 13:00,3.3,13.6,121.0,69,32.8,64,14.8,0.0,13.0,4.0,5.0,-0.2588190451025208,-0.9659258262890684,70.0,71.0,72.0,-1.0,0.3000000000000007,1.8615384615384616,600.24,5.476463551931511,4.804021044733257,2.681021528714291,1.4586150226995167,-0.9767162653564098,1.910866682240264,0.0959383485925377,-1.0851191347130271,1.3643987222652494,-1.060730878676433,0.1994755269262357,0.1294979409575157,1.574811996996183,-0.7008728960068704
