time,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,us_aqi,temperature_2m,relative_humidity_2m,wind_speed_10m,precipitation,hour,day_of_week,month,hour_sin,hour_cos,us_aqi_lag1,us_aqi_lag6,us_aqi_lag24,us_aqi_roll3,us_aqi_diff,pm2_5_diff,ozone_per_humidity,pm2_5_temp_interaction,log_pm2_5,log_pm10,log_carbon_monoxide,log_ozone,log_sulphur_dioxide,log_nitrogen_dioxide,scaled_pm2_5,scaled_pm10,scaled_carbon_monoxide,scaled_ozone,scaled_sulphur_dioxide,scaled_nitrogen_dioxide,scaled_temperature_2m,scaled_relative_humidity_2m,scaled_wind_speed_10m,scaled_us_aqi_lag1,scaled_us_aqi_lag6,scaled_us_aqi_lag24,scaled_us_aqi_roll3,scaled_us_aqi_diff,scaled_pm2_5_diff,scaled_ozone_per_humidity,scaled_pm2_5_temp_interaction,scaled_log_pm2_5,scaled_log_pm10,scaled_log_carbon_monoxide,scaled_log_ozone,scaled_log_sulphur_dioxide,scaled_log_nitrogen_dioxide
25/05/2025 15:00,65.4,26.0,230.0,4.3,13.1,91.0,79,33.3,62,17.7,0.0,15.0,6.0,5.0,-0.7071067811865471,-0.7071067811865479,79.0,77.0,66.0,78.66666666666667,0.0,-0.6999999999999993,1.4444444444444444,865.8,3.295836866004329,4.1956970564823886,5.442417710521793,4.5217885770490405,2.6461747973841225,1.667706820558076,-0.03939703790022727,-0.15227424497778963,-0.36655368253618054,0.8274811733831839,-0.005765170408488162,-0.9613734294543299,1.636898234840288,-1.2450427474804198,0.8133789224579719,-0.12466694602506129,-0.2739615075749108,-1.0878787017996492,-0.15101276377906164,-0.007182312877526853,-0.30781185965817776,0.8454879334187576,0.20861490882091727,0.09806527219774927,0.04565162936295866,-0.2756085111487812,0.9138485637525434,0.15795715206313898,-1.2776765607762284
25/05/2025 16:00,64.0,25.5,249.0,5.5,12.7,81.0,79,32.8,65,17.5,0.0,16.0,6.0,5.0,-0.8660254037844384,-0.5000000000000004,79.0,77.0,66.0,79.0,0.0,-0.5,1.2272727272727273,836.4,3.2771447329921766,4.174387269895637,5.521460917862246,4.406719247264253,2.617395832834079,1.8718021769015913,-0.10026192279997939,-0.1861883411747192,-0.18562062928954304,0.46635267043082396,-0.08712798560930898,-0.8128785831438932,1.3643987222652494,-0.9685749442744395,0.7710407572488869,-0.12466694602506129,-0.2739615075749108,-1.0878787017996492,-0.12509256881523803,-0.007182312877526853,-0.2203498995350394,0.4657448712542824,0.10792601944775511,0.02903299251399588,-0.0013090821796337279,-0.04209349487160091,0.6252593609066625,0.06630294524291346,-0.922794036506598
25/05/2025 17:00,85.9,32.6,261.0,7.4,13.6,75.0,79,32.2,68,17.1,0.0,17.0,6.0,5.0,-0.9659258262890683,-0.25881904510252063,79.0,78.0,66.0,79.0,0.0,7.100000000000001,1.0869565217391304,1049.72,3.5145260669691587,4.464758032271346,5.568344503761097,4.330733340286331,2.681021528714291,2.128231705849268,0.7640194427765008,0.3443250207629628,-0.07134712197587727,0.249675568659408,0.09593834859253778,-0.5777617431523682,1.0373993071752063,-0.6921071410684592,0.6863644268307166,-0.12466694602506129,-0.196797676838746,-1.0878787017996492,-0.12509256881523803,-0.007182312877526853,3.103204585144232,0.22039015262627445,0.838502682069625,0.9057106102127159,0.6385855294729209,0.09641330024297035,0.4346897941655258,0.268935763360649,-0.4769124634978686
25/05/2025 18:00,83.1,32.1,260.0,9.9,13.4,66.0,80,31.3,72,16.7,0.0,18.0,6.0,5.0,-1.0,-1.8369701987210297e-16,79.0,78.0,67.0,79.33333333333333,1.0,-0.5,0.9041095890410958,1004.73,3.4995332823830174,4.432006566978902,5.564520407322694,4.204692619390966,2.667228206581955,2.388762789235098,0.7031545578767487,0.27649682836910366,-0.08086991425201608,-0.07534008399771598,0.055256940992127544,-0.26839748000562497,0.5469001845401358,-0.3234834034604855,0.6016880964125456,-0.12466694602506129,-0.196797676838746,-1.0118800001406723,-0.0991723738514144,0.6666492225413561,-0.2203498995350394,-0.0993331291822466,0.6844212829914423,0.8503404660929472,0.5664106107831263,0.08511588491652848,0.11858478827608926,0.2250072892400184,-0.02389907711269308
25/05/2025 19:00,79.2,32.1,252.0,13.4,13.2,55.0,81,30.3,78,13.8,0.0,19.0,6.0,5.0,-0.9659258262890684,0.2588190451025203,80.0,78.0,68.0,80.0,1.0,0.0,0.6962025316455697,972.6300000000001,3.4995332823830174,4.384523514872469,5.53338948872752,4.02535169073515,2.653241964607215,2.667228206581955,0.7031545578767487,0.182021846106229,-0.1570522524611266,-0.47258143724531193,0.014575533391716952,0.16471248839981564,0.0019011593900587506,0.22945220295147514,-0.012215299119190658,-0.04718649537895291,-0.196797676838746,-0.9358812984816952,-0.04733198392376607,0.6666492225413561,-0.0016949992271926102,-0.4628761524137471,0.574485454798296,0.8503404660929472,0.46177146275344144,-0.006853269765724325,-0.3311949726317075,0.180464410973448,0.4602986626120627
25/05/2025 20:00,74.5,32.0,243.0,15.9,13.0,46.0,81,30.1,79,11.2,0.0,20.0,6.0,5.0,-0.8660254037844386,0.5000000000000001,81.0,79.0,68.0,80.66666666666667,0.0,-0.10000000000000142,0.575,963.2,3.4965075614664802,4.324132656254979,5.497168225293202,3.8501476017100584,2.639057329615259,2.827313621929028,0.6909815808967982,0.06816738030225156,-0.24275738294637594,-0.7975970899024359,-0.026105874208693276,0.4740767515465589,-0.10709864563995627,0.3216081373534686,-0.5626114468372996,0.030293955267155465,-0.11963384610258124,-0.9358812984816952,0.004508406003882255,-0.007182312877526853,-0.04542597928876258,-0.6748090003397174,0.5421896647714619,0.8391661173752498,0.3286871786945594,-0.11386068008010945,-0.7705997078609418,0.13528969779148284,0.738656374002132
25/05/2025 21:00,71.9,32.0,234.0,16.6,12.9,43.0,82,29.8,81,11.9,0.0,21.0,6.0,5.0,-0.7071067811865477,0.7071067811865474,81.0,79.0,69.0,81.33333333333333,1.0,0.0,0.524390243902439,953.6,3.4965075614664802,4.289088639014612,5.459585514144159,3.784189633918261,2.631888840136646,2.8678989020441064,0.6909815808967982,0.005184058793668467,-0.3284625134316253,-0.9059356407881439,-0.04644657800889839,0.5606987452276472,-0.27059835318497977,0.5059200061574555,-0.41442786860550085,0.030293955267155465,-0.11963384610258124,-0.8598825968227182,0.05634879593152948,0.6666492225413561,-0.0016949992271926102,-0.7633044269365832,0.5093116600781843,0.8391661173752498,0.25146012725418454,-0.22489017522583515,-0.9360196106445036,0.11245975142149088,0.8092263610585115
25/05/2025 22:00,69.2,31.9,224.0,16.4,12.8,44.0,82,29.6,84,13.5,0.0,22.0,6.0,5.0,-0.5000000000000004,0.8660254037844384,82.0,79.0,69.0,81.66666666666667,0.0,-0.10000000000000142,0.5176470588235295,944.24,3.493472657771326,4.251348311031766,5.41610040220442,3.8066624897703196,2.624668592163159,2.856470206220483,0.6788086039168475,-0.06022169815755265,-0.42369043619301344,-0.8698227904929079,-0.06678728180910351,0.5359496041759073,-0.3795981582149948,0.7823878093634358,-0.07572254693281873,0.10777440591326384,-0.11963384610258124,-0.8598825968227182,0.0822689908953542,-0.007182312877526853,-0.04542597928876258,-0.7750954547184477,0.4772556055022387,0.8279578555593866,0.16829117346338837,-0.3533569589519337,-0.8796586014325303,0.08946496646650952,0.7893540597202551
25/05/2025 23:00,67.8,31.7,211.0,15.5,12.4,45.0,83,29.4,85,12.4,0.0,23.0,6.0,5.0,-0.25881904510252157,0.9659258262890681,82.0,79.0,70.0,82.33333333333333,1.0,-0.1999999999999993,0.5232558139534884,931.9799999999999,3.4873750779032076,4.231203744939298,5.356586274672012,3.828641396489095,2.5952547069568657,2.803360380906535,0.6544626499569468,-0.09413579435448222,-0.547486735782818,-0.833709940197672,-0.14815009700992432,0.42457846944308,-0.48859796324501176,0.8745437437654292,-0.3085824555827877,0.10777440591326384,-0.11963384610258124,-0.7838838951637412,0.13410938082300142,0.6666492225413561,-0.08915695935033101,-0.7652880733719291,0.4352676536751986,0.8054387648501395,0.12389827663319612,-0.5291777907103631,-0.8245363965734389,-0.004211312726792289,0.6970063002778
26/05/2025 00:00,63.1,30.6,190.0,13.7,11.3,47.0,83,29.2,86,12.1,0.0,0.0,0.0,5.0,0.0,1.0,83.0,80.0,71.0,82.66666666666667,0.0,-1.0999999999999979,0.5402298850574713,893.52,3.4531571205928664,4.160444363926624,5.25227342804663,3.8712010109078907,2.509599262378372,2.6878474937846906,0.5205599031774923,-0.2079902601584595,-0.7474653735817332,-0.7614842396071999,-0.3718978388121813,0.20183619997742472,-0.5975977682750268,0.9666996781674226,-0.3720897033964157,0.1852548565593722,-0.04247001536641648,-0.7078851935047642,0.16002957578682614,-0.007182312877526853,-0.4827357799044546,-0.7356074785763953,0.30355014737275604,0.6790677617271426,-0.03203528314888083,-0.8373461570663538,-0.7177986131734692,-0.27700367879764837,0.4961516326268793
